ID EVENT_TYPE EXTRA_INT EXTRA_STRING PERSON SEAT SURVEY TIME
21 INITIALIZATION_END NA NA NA NA 1 11:44:25.214
22 SIT_DOWN NA NA 28 4 1 17:24:41.213999854
23 SIT_DOWN NA NA 102 13 1 01:46:56.41399978
24 SIT_DOWN NA NA 48 1 1 04:18:19.213999753
25 SIT_DOWN NA NA 111 10 1 05:12:07.213999522
26 SIT_DOWN NA NA 113 16 1 08:44:47.213999493
27 SIT_DOWN NA NA 122 6 1 02:44:21.613999194
28 SIT_DOWN NA NA 167 7 1 14:40:17.213997596
29 SIT_DOWN NA NA 169 11 1 19:57:05.213997596
30 SIT_DOWN NA NA 209 5 1 23:07:53.213997596
31 SIT_DOWN NA NA 194 8 1 23:50:21.613997596
32 SIT_DOWN NA NA 189 12 1 01:36:39.613997596
33 SIT_DOWN NA NA 170 3 1 01:57:56.413997596
34 SIT_DOWN NA NA 204 14 1 09:26:21.613997596
35 SIT_DOWN NA NA 210 9 1 12:17:57.613997596
36 SIT_DOWN NA NA 175 15 1 15:53:03.613997596
37 SIT_DOWN NA NA 187 2 1 18:45:37.213997596
41 INITIALIZATION_END NA NA NA NA 2 11:44:25.219
42 SIT_DOWN NA NA 43 5 2 11:47:31.218999996
43 SIT_DOWN NA NA 49 13 2 17:20:26.418999854
44 SIT_DOWN NA NA 66 7 2 20:22:49.618999841
45 SIT_DOWN NA NA 85 12 2 21:19:26.41899983
46 SIT_DOWN NA NA 121 16 2 21:29:49.218999828
47 SIT_DOWN NA NA 117 10 2 22:06:21.618999821
48 SIT_DOWN NA NA 99 3 2 23:20:25.218999807
49 SIT_DOWN NA NA 129 2 2 02:06:13.218999548
50 SIT_DOWN NA NA 143 11 2 02:44:21.618999194
51 SIT_DOWN NA NA 153 4 2 22:46:19.218998937
52 SIT_DOWN NA NA 171 8 2 09:55:31.618998644
53 SIT_DOWN NA NA 174 9 2 10:08:37.218998643
54 SIT_DOWN NA NA 172 1 2 11:53:36.418998635
55 SIT_DOWN NA NA 169 6 2 23:12:55.618998584
56 SIT_DOWN NA NA 170 15 2 01:28:09.618998574
57 SIT_DOWN NA NA 185 14 2 13:05:03.618997664
61 INITIALIZATION_END NA NA NA NA 3 11:44:25.219
62 SIT_DOWN NA NA 64 8 3 11:47:31.218999996
63 SIT_DOWN NA NA 72 9 3 17:41:56.418999854
64 SIT_DOWN NA NA 78 5 3 20:38:11.218999838
65 SIT_DOWN NA NA 91 16 3 21:19:26.41899983
66 SIT_DOWN NA NA 97 4 3 21:29:49.218999828
67 SIT_DOWN NA NA 123 15 3 21:40:13.618999826
68 SIT_DOWN NA NA 114 12 3 22:11:36.41899982
69 SIT_DOWN NA NA 110 14 3 22:48:31.218999813
70 SIT_DOWN NA NA 139 2 3 00:03:19.618999799
71 SIT_DOWN NA NA 107 10 3 01:08:29.218999787
72 SIT_DOWN NA NA 132 13 3 01:30:25.218999783
73 SIT_DOWN NA NA 136 11 3 03:16:03.618999764
74 SIT_DOWN NA NA 144 6 3 03:55:35.218999757
75 SIT_DOWN NA NA 170 7 3 22:12:56.41899894
76 SIT_DOWN NA NA 171 3 3 22:24:03.618998939
77 SIT_DOWN NA NA 169 1 3 23:53:15.618998931
81 INITIALIZATION_END NA NA NA NA 4 11:44:25.219
82 SIT_DOWN NA NA 99 5 4 20:43:19.218999837
83 SIT_DOWN NA NA 155 16 4 23:41:49.218999803
84 SIT_DOWN NA NA 131 13 4 01:19:26.418999785
85 SIT_DOWN NA NA 147 8 4 03:04:49.618999766
86 SIT_DOWN NA NA 167 11 4 05:26:36.41899952
87 SIT_DOWN NA NA 192 2 4 23:53:15.618998931
88 SIT_DOWN NA NA 203 9 4 11:27:19.218998637
89 SIT_DOWN NA NA 219 3 4 11:24:05.218998332
90 SIT_DOWN NA NA 222 14 4 22:53:29.218998287
91 SIT_DOWN NA NA 255 10 4 16:25:43.218997596
92 SIT_DOWN NA NA 257 15 4 00:54:07.218997596
93 SIT_DOWN NA NA 271 7 4 04:48:25.218997596
94 SIT_DOWN NA NA 267 6 4 06:56:33.618997596
95 SIT_DOWN NA NA 236 1 4 10:09:13.218997596
96 SIT_DOWN NA NA 278 4 4 13:30:26.418997596
97 SIT_DOWN NA NA 275 12 4 18:32:49.218997596
101 INITIALIZATION_END NA NA NA NA 5 11:44:25.219
